HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
0304.44.00,03044400,,,,"Bregamacerotidae & like fish, fillets, fresh or chilled.",0.1,0.25
0304.45.00,03044500,,,,Fresh or chilled swordfish fillets.,0.1,0.25
0304.46.00,03044600,,,,Fresh or chilled toothfish fillets.,0.1,0.25
0304.47.00,03044700,,,,"Dogfish and other shark fillets, frozen or chilled.",0.1,0.25
0304.48.00,03044800,,,,"Ray and skate fillets, fresh or chilled.",0.1,0.25
0304.49.01,03044901,,,,"Pike, pickerel, whitefish, tilapia, perch, cusk, other fish fillets, fresh or chilled.",0.1,0.25
0304.51.01,03045101,,,,"Tilapias, catfish, carp, eels, nile perch, snakeheads, other than fillets, fresh or chilled.",0.1,0.25
0304.52.00,03045200,,,Salmon,"Salmonidae, other than fillets, fresh or chilled.",0.1,0.25
0304.53.00,03045300,,,,"Bregmacerotidae and other fish, nesoi, other than fillets, fresh or chilled.",0.1,0.25
0304.54.00,03045400,,,,Fresh or chilled swordfish other than fillets.,0.1,0.25
0304.55.00,03045500,,,,Fresh or chilled toothfish other than fillets.,0.1,0.25
0304.56.00,03045600,,,,"Dogfish and other sharks, fresh or chilled.",0.1,0.25
0304.57.00,03045700,,,,"Rays and skates, fresh or chilled.",0.1,0.25
0304.59.00,03045900,,,,"Other fish, nesoi, other than fillets, fresh or chilled.",0.1,0.25
0304.61.00,03046100,,,,Frozen tilapia fillets.,0.1,0.25
0304.62.00,03046200,,,,Frozen catfish fillets.,0.1,0.25
0304.63.00,03046300,,,,Frozen Nile perch fillets.,0.1,0.25
0304.69.00,03046900,,,,Frozen eel & snakehead fillets.,0.1,0.25
0304.71.10,03047110,,,,"Frozen cod fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight and dimension.",0.1,0.25
0304.71.50,03047150,,,,"Fillets, frozen, of cod, other than above.",0.1,0.25
0304.72.10,03047210,,,,"Frozen haddock fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight and dimension.",0.1,0.25
0304.72.50,03047250,,,,"Fillets, frozen, of haddock, other than above.",0.1,0.25
0304.73.10,03047310,,,,"Frozen coalfish fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight and dimension.",0.1,0.25
0304.73.50,03047350,,,,Other coalfish fillets.,0.1,0.25
